 U$S 13.000 
Marca Chevrolet, Kilómetros 142000 km, Modelo Grand Vitara Sz 2.4, Año 2013, U$S 13.700 
 U$S 21.000 
Marca Ford, Kilómetros 129600 km, Modelo Ecosport, Año 2008, U$S 12.500 
Marca Kia, Kilómetros 112000 km, Modelo Rio r, Año 2014, U$S 12.000 
 U$S 6.500 
Marca Kia, Kilómetros 56000 km, Modelo Sorento, Año 2005, U$S 15.950 
Marca JAC, Kilómetros 45000 km, Modelo S3, Año 2019, U$S 16.850 
 U$S 12.900 
 U$S 16.500 
 U$S 27.000 
 U$S 14.800 
 U$S 13.200 
 U$S 14.300 
Marca Kia, Kilómetros 143000 km, Modelo GRAND CARIVAL, Año 2013, U$S 15.500 
Marca Volkswagen, Kilómetros 63000 km, Modelo Amarok, Año 2017, U$S 27.000 
Marca Ford, Kilómetros 111000 km, Modelo ESCAPE HIBRIDO, Año 2010, U$S 13.500 
 U$S 17.500 
Marca Volkswagen, Kilómetros 10000 km, Modelo CRAFTER AMAROK DIESEL, Año 2013, U$S 700 
Marca Chevrolet, Kilómetros 112000 km, Modelo Grand Vitara 3P Sport, Año 2014, U$S 15.400 
Marca Jeep, Kilómetros 230000 km, Modelo GRAND CHEROKEE LIMITED, Año 2001, U$S 12.500 
Marca Chevrolet, Kilómetros 58000 km, Modelo TRAIBLAZER, Año 2017, U$S 40.500 
Marca Mitsubishi, Kilómetros 160000 km, Modelo Outlander, Año 2009, U$S 16.700 
Marca Ford, Kilómetros 225000 km, Modelo FIESTA POWER, Año 2004, U$S 4.900 
Marca Mercedes-Benz, Kilómetros 275000 km, Modelo C220, Año 1996, U$S 11.000 
Marca Renault, Kilómetros 116000 km, Modelo Logan, Año 2011, U$S 8.750 
 U$S 10.800 
 U$S 15.500 
Marca Kia, Kilómetros 130000 km, Modelo Carnival, Año 2014, U$S 18.000 
Marca Hyundai, Kilómetros 145000 km, Modelo SANTA FE 2.4, Año 2011, U$S 18.000 
Marca Nissan, Kilómetros 88400 km, Modelo Versa, Año 2015, U$S 14.900 
 U$S 16.000 
Marca Fiat, Kilómetros 500000 km, Modelo Premio, Año 1995, U$S 3.500 
 U$S 13.990 
 U$S 13.500 
Marca Toyota, Kilómetros 200000 km, Modelo LAND CRUISER PRADO GX 3PTAS, Año 2007, U$S 18.500 
 U$S 13.500 
Marca JEPP, Kilómetros 52000 km, Modelo COMPASS 2.0 4X2 5P TM, Año 2017, U$S 25.800 
Marca Kia, Kilómetros 290000 km, Modelo Pregio, Año 2014, U$S 38.000 
Marca Renault, Kilómetros 150000 km, Modelo Duster, Año 2015, U$S 13.500 
 U$S 6.000 
Marca Nissan Datsun, Kilómetros 150000 km, Modelo 160J, Año 1996, U$S 1.800 
Marca Haval, Kilómetros 16800 km, Modelo H6, Año 2020, U$S 25.900 
 U$S 6.500 
Marca Toyota, Kilómetros 130000 km, Modelo Fortuner, Año 2013, U$S 27.900 
" U$S 12.999 , 99 "
Marca Ford, Kilómetros 139000 km, Modelo Bronco, Año 1996, U$S 5.850 
 U$S 6.150 
Marca Fiat, Kilómetros 278900 km, Modelo Uno fire, Año 2006, U$S 6.100 
Marca Mazda, Kilómetros 162000 km, Modelo BT-50, Año 2013, U$S 20.500 
 U$S 8.900 
Marca Nissan, Kilómetros 191000 km, Modelo Primera, Año 1998, U$S 7.000 
Marca Chevrolet, Kilómetros 174000 km, Modelo Spark, Año 2010, U$S 6.900 
 U$S 15.000 
Marca Ford, Kilómetros 69000 km, Modelo Fusion, Año 2010, U$S 16.000 
Marca GREAT WAL, Kilómetros 108000 km, Modelo H5 Elite, Año 2015, U$S 14.000 
Marca Hyundai, Kilómetros 129000 km, Modelo Santa Fe, Año 2013, U$S 24.200 
Marca Hyundai, Kilómetros 15900 km, Modelo Ionic, Año 2018, U$S 19.000 
 U$S 9.300 
Marca Great Wall, Kilómetros 60000 km, Modelo HAVAL M4 LUXURY, Año 2015, U$S 10.800 
Marca Volvo, Kilómetros 168500 km, Modelo S90, Año 1998, U$S 8.500 
Marca Hyundai, Kilómetros 30000 km, Modelo GRAN I10, Año 2018, U$S 12.600 
Marca Chevrolet, Kilómetros 150000 km, Modelo CAMIONETA, Año 2004, U$S 10.800 
Marca Volkswagen, Kilómetros 145300 km, Modelo Jetta, Año 2009, U$S 11.500 
Marca Hyundai, Kilómetros 211 km, Modelo Terrracan, Año 2005, U$S 12.250 
Marca Chevrolet, Kilómetros 101481 km, Modelo Gran Vitara 3p 4x4, Año 2011, U$S 14.200 
Marca Kia, Kilómetros 199000 km, Modelo Carens, Año 2007, U$S 7.500 
Marca Chevrolet, Kilómetros 91500 km, Modelo Optra, Año 2013, U$S 12.800 
Marca Honda, Kilómetros 98000 km, Modelo Accord, Año 2013, U$S 20.900 
Marca NETLIFE, Kilómetros 1000 km, Modelo INTERNET FIBRA OPTICA, Año 2020, U$S 29 
Marca Ford, Kilómetros 80000 km, Modelo Fusion, Año 2014, U$S 20.200 
Marca Toyota, Kilómetros 65000 km, Modelo RAV4, Año 2013, U$S 24.500 
Marca Kia, Kilómetros 140000 km, Modelo RIO STYLUS, Año 2013, U$S 24.000 
Marca Toyota, Kilómetros 250000 km, Modelo Tercel, Año 1998, U$S 5.947 
Marca Hyundai, Kilómetros 74000 km, Modelo Gran i10, Año 2015, U$S 11.200 
Marca KIA SPORTAGE, Kilómetros 150000 km, Modelo Sportage, Año 2013, U$S 15.000 
 U$S 10.800 
Marca Nissan, Kilómetros 235600 km, Modelo X-Trail, Año 2003, U$S 9.000 
 U$S 11.000 
Marca Volkswagen, Kilómetros 127000 km, Modelo Bora, Año 2008, U$S 13.200 
 U$S 15.000 
Marca Toyota, Kilómetros 12000 km, Modelo YARIS HATCHBACK, Año 2019, U$S 17.500 
Marca Kia, Kilómetros 13500 km, Modelo CERATO FORTE, Año 2014, U$S 12.500 
Marca Toyota, Kilómetros 36700 km, Modelo RAV4, Año 2017, U$S 32.500 
Marca Aveo, Kilómetros 51000 km, Modelo Family, Año 2019, U$S 12.000 
Marca Renault, Kilómetros 171124 km, Modelo Logan, Año 2012, U$S 7.900 
Marca JEEP WRANGLER, Kilómetros 30000 km, Modelo Rubicon, Año 2012, U$S 57.000 
Marca Chevrolet, Kilómetros 1000 km, Modelo Cargo, Año 1996, U$S 2.100 
 U$S 8.000 
Marca Volkswagen, Kilómetros 128000 km, Modelo Jetta, Año 2011, U$S 11.500 
Marca Renault, Kilómetros 1 km, Modelo Logan, Año 2011, U$S 7.299 
 U$S 20.500 
Marca Chevrolet, Kilómetros 151000 km, Modelo corsa evolution activo, Año 2007, U$S 6.999 
Marca Ford, Kilómetros 129200 km, Modelo EXPLORER LIMITED, Año 2006, U$S 13.500 
Marca Kiar, Kilómetros 100000 km, Modelo Sportage, Año 2012, U$S 18.200 
 U$S 28.500 
Marca Nissan, Kilómetros 120500 km, Modelo X-Trail Exclusive, Año 2015, U$S 25.500 
 U$S 21.900 
Marca Kia, Kilómetros 28000 km, Modelo CERATO LX ABS AC 1.6, Año 2018, U$S 16.500 
Marca Nissan, Kilómetros 400000 km, Modelo Sentra, Año 2009, U$S 7.500 
